id|star|user_id|webtoon_id
470|35|3|3261
471|40|3|3272
472|40|3|3273
473|40|3|3274
474|10|15|677
475|10|15|3258
476|45|15|3257
477|50|15|3256
478|40|15|3259
479|50|15|3260
480|50|15|3263
481|45|15|3261
482|30|15|3262
483|45|15|3264
484|30|15|3271
485|30|15|3272
486|15|15|3273
487|10|15|3275
488|10|15|3274
489|5|15|3276
490|50|16|2066
491|45|16|2773
492|30|16|2231
493|25|5|2749
494|30|5|2754
495|30|5|2755
496|50|5|3258
498|50|5|3257
499|45|5|3259
500|40|5|3260
501|50|5|3263
502|50|5|3261
503|40|5|3262
504|50|5|3272
505|50|5|3273
506|50|5|1977
507|50|5|2266
508|50|5|2141
509|50|5|2134
510|50|5|2137
511|30|5|898
512|50|5|948
513|50|5|2138
514|5|5|2186
515|50|5|2187
516|50|5|2191
517|50|5|2074
518|50|5|2032
519|50|5|2070
520|50|5|2077
521|50|5|2082
522|50|5|2088
523|50|5|707
524|50|7|2264
525|40|3|3276
526|15|4|2743
527|35|4|3256
528|35|4|3258
529|30|4|3259
530|40|4|3261
531|50|4|3273
532|50|4|948
533|45|4|1155
534|50|4|1112
535|35|4|2190
536|50|7|3263
537|35|4|141
538|50|7|948
539|50|7|646
540|50|7|2191
541|50|7|2094
542|50|7|2144
543|50|7|2097
544|30|4|2005
545|50|7|2164
546|50|7|2165
547|50|7|2200
548|50|7|2245
549|20|4|2163
551|50|18|2134
552|35|18|707
553|50|18|883
554|40|18|3276
556|50|18|1282
557|30|18|2165
558|30|18|2167
559|50|18|1436
560|50|18|1189
561|40|18|1416
562|45|1|3258
563|45|1|3260
564|45|1|3261
565|45|1|1155
566|45|2|3257
567|50|2|3259
568|50|2|3260
569|40|2|3261
